1
userId|firstname|surname|identityNumber|dataOfBirth
USROAm_0W|John|Doe|123456789|1983-05-26 21:14:19.34
USRycj08J||||2001-04-03 12:56:11.548
USRYENkSS|John|Doe|123456789|1974-11-18 09:47:29.253
USRKTpVVP|||7707077777087|1984-05-04 10:32:31.298
USRsQA5Dt|John|Doe|123456789|2009-08-17 10:11:54.636
USRAcvbmL|Amy|Dune|7707077777087|2017-11-06 14:53:24.114
USREL5DEi|John|Doe|123456789|1983-12-08 16:36:33.359
USRp873nu|Michael|Johnson|987654321|2020-03-01 14:59:26.597
USRwDmMNv|John|Doe|123456789|1976-09-15 12:46:34.624
USR6rJcMn|Michael|Johnson|987654321|1994-11-21 19:19:31.63
10|2024-07-18 08:00:00.00
